,"人力資源主要指標",
,,,,,,,,,,,,""
統計期,總人口數(千人),15歲以上民間人口(千人),勞動力(千人),就業人數(千人),失業人數(千人),15歲以上民間人口占總人口數(%),勞動力占總人口數(%),勞動力參與率(%),就業人口占總人口數(%),就業人口占15歲以上民間人口(%),就業人口占勞動力(%),失業率(%)
113年11月,23245.0,20256.0,12009.0,11606.0,403.0,87.14,51.66,59.29,49.93,57.3,96.64,3.36
113年12月,23244.0,20256.0,12011.0,11612.0,399.0,87.15,51.67,59.3,49.96,57.33,96.68,3.32
114年1月,23241.0,20258.0,12015.0,11619.0,396.0,87.17,51.7,59.31,49.99,57.36,96.7,3.3
114年2月,23233.0,20257.0,12018.0,11616.0,402.0,87.19,51.73,59.33,50.0,57.34,96.66,3.34
114年3月,23224.0,20254.0,12013.0,11610.0,403.0,87.21,51.73,59.31,49.99,57.32,96.65,3.35
114年4月,23215.0,20253.0,12004.0,11605.0,399.0,87.24,51.71,59.27,49.99,57.3,96.68,3.32
114年5月,23206.0,20249.0,12007.0,11611.0,396.0,87.26,51.74,59.3,50.04,57.34,96.7,3.3
114年6月,23198.0,20245.0,12021.0,11617.0,404.0,87.27,51.82,59.38,50.08,57.38,96.64,3.36
114年7月,23189.0,20242.0,12047.0,11638.0,409.0,87.29,51.95,59.51,50.19,57.49,96.6,3.4
114年8月,23180.0,20235.0,12056.0,11641.0,415.0,87.3,52.01,59.58,50.22,57.53,96.55,3.45
114年9月,23170.0,20226.0,12037.0,11630.0,407.0,87.3,51.95,59.51,50.19,57.5,96.62,3.38
114年10月,23161.0,20219.0,12039.0,11635.0,404.0,87.3,51.98,59.54,50.23,57.54,96.64,3.36
114年11月,23155.0,20213.0,12040.0,11639.0,401.0,87.29,52.0,59.57,50.26,57.58,96.67,3.33
114年12月,23150.0,20209.0,12043.0,11645.0,398.0,87.3,52.02,59.59,50.3,57.62,96.7,3.3
