月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2013-07,1251971950,5520538100,1039735700,7812245750,25039439,55205381,20794714,101039534,9,9,27,45,294065185,2836789806,38215750,2836789806,139107994.44444445,613393122.2222222,38508729.62962963,173605461.1111111
2013-08,1030066450,545736500,940371850,2516174800,20601329,5457365,18807437,44866131,9,9,27,45,252482810,256331605,35631800,256331605,114451827.77777778,60637388.88888889,34828587.03703704,55914995.55555555
2013-09,1260919600,1388977900,898455350,3548352850,25218392,13889779,17969107,57077278,8,9,25,42,502174507,916247496,35436850,916247496,157614950.0,154330877.7777778,35938214.0,84484591.66666667
2013-10,1058901800,1730809000,985020400,3774731200,21178036,17308090,19700408,58186534,9,9,27,45,229778025,1407475579,34320950,1407475579,117655755.55555557,192312111.1111111,36482237.03703704,83882915.55555555
2013-11,1205782950,665352300,942545200,2813680450,24115659,6653523,18850904,49620086,9,8,26,43,444408550,676688609,39247350,676688609,133975883.33333331,83169037.5,36251738.461538464,65434429.069767445
2013-12,1558256600,3405086100,987239600,5950582300,31165132,34050861,19744792,84960785,9,9,26,44,568031223,1841687772,36214100,1841687772,173139622.2222222,378342900.0,37970753.84615385,135240506.8181818
2014-01,2402279100,681313700,1130334950,4213927750,48045582,6813137,22606699,77465418,10,9,27,46,510859037,244726742,39251950,510859037,240227910.0,75701522.22222222,41864257.40740741,91607125.0
2014-02,2828283050,2116667500,1036402150,5981352700,56565661,21166675,20728043,98460379,11,8,24,43,668825176,1157825063,40630347,1157825063,257116640.9090909,264583437.5,43183422.916666664,139101225.58139536
2014-03,908744050,1893832500,1008703950,3811280500,18174881,18938325,20174079,57287285,8,9,26,43,165636331,1649912047,37096900,1649912047,113593006.25,210425833.33333337,38796305.76923077,88634430.23255815
2014-04,934000750,541922000,944627150,2420549900,18680015,5419220,18892543,42991778,9,8,26,43,195944047,313148766,39286400,313148766,103777861.1111111,67740250.0,36331813.461538464,56291858.13953488
2014-05,1013843200,1118824200,924761250,3057428650,20276864,11188242,18495225,49960331,9,9,27,45,423450647,883762278,37165600,883762278,112649244.44444443,124313800.0,34250416.666666664,67942858.8888889
2014-06,818923050,1864630800,883064700,3566618550,16378461,18646308,17661294,52686063,8,9,25,42,142049147,1426709226,35604850,1426709226,102365381.25,207181200.0,35322588.0,84919489.28571428
