月份,威力彩開獎期數,威力彩銷售總額,威力彩銷售注數,威力彩單月最高總獎金,威力彩平均每期銷售額
2022-05,9,581927200,5819272,451318169,64658577.777777776
2022-06,9,854976100,8549761,660336408,94997344.44444445
2022-07,8,456940000,4569400,229453051,57117500.0
2022-08,9,576246900,5762469,514582631,64027433.333333336
2022-09,9,902029000,9020290,731981827,100225444.44444445
2022-10,9,503804000,5038040,248702566,55978222.222222224
2022-11,8,443269600,4432696,198696987,55408700.0
2022-12,9,567188900,5671889,331903737,63020988.88888889
2023-01,9,1237310200,12373102,592321247,137478911.1111111
2023-02,8,1774457200,17744572,975693960,221807150.0
2023-03,9,1356265700,13562657,1296649574,150696188.8888889
2023-04,8,496689600,4966896,261930359,62086200.0
2023-05,9,516838000,5168380,236643495,57426444.44444445
2023-06,9,1031463800,10314638,730831206,114607088.8888889
2023-07,9,507524300,5075243,205044329,56391588.88888889
2023-08,9,708938400,7089384,453746416,78770933.33333333
2023-09,8,1670452500,16704525,994564495,208806562.5
2023-10,9,749851100,7498511,480408797,83316788.8888889
2023-11,9,1265957300,12659573,1019998403,140661922.2222222
2023-12,8,563109300,5631093,269906589,70388662.5
2024-01,9,583031200,5830312,216439933,64781244.44444445
2024-02,9,1051837000,10518370,573648997,116870777.77777778
2024-03,8,518277300,5182773,215744031,64784662.5
2024-04,9,570454300,5704543,332397176,63383811.11111111
2024-05,9,580217800,5802178,340601290,64468644.44444445
2024-06,8,578724600,5787246,453611626,72340575.0
2024-07,9,603753400,6037534,358809956,67083711.11111111
2024-08,9,528214900,5282149,189937920,58690544.44444445
2024-09,9,617604500,6176045,404347686,68622722.22222222
2024-10,9,1001493800,10014938,672320869,111277088.8888889
2024-11,8,463823800,4638238,186000397,57977975.0
2024-12,9,633227100,6332271,408093393,70358566.66666667
2025-01,9,1305852900,13058529,820214423,145094766.66666666
2025-02,8,4298121400,42981214,2286939279,537265175.0
2025-03,9,592369600,5923696,218298014,65818844.44444445
2025-04,8,601751800,6017518,417778175,75218975.0
2025-05,9,1313173300,13131733,836708029,145908144.44444445
2025-06,9,3249795000,32497950,1888767666,361088333.3333333
2025-07,9,502522100,5025221,197243242,55835788.88888889
2025-08,8,489580800,4895808,287114144,61197600.0
2025-09,9,521285900,5212859,249648012,57920655.55555555
2025-10,9,503819200,5038192,243833793,55979911.11111111
2025-11,8,433396200,4333962,171631513,54174525.0
2025-12,9,624970300,6249703,393894871,69441144.44444445
