月份,大樂透開獎期數,大樂透銷售總額,大樂透銷售注數,大樂透單月最高總獎金,大樂透平均每期銷售額
2021-10,9,976389200,19527784,208340050,108487688.8888889
2021-11,9,820751400,16415028,220513113,91194600.0
2021-12,9,835370450,16707409,237359394,92818938.8888889
2022-01,11,1721525650,34430513,474059452,156502331.8181818
2022-02,15,3367008950,67340179,423236952,224467263.33333334
2022-03,9,872363750,17447275,213650214,96929305.55555555
2022-04,9,824713000,16494260,192729985,91634777.77777778
2022-05,9,993659350,19873187,326941681,110406594.44444445
2022-06,8,860117150,17202343,156652656,107514643.75
2022-07,9,793109050,15862181,210353143,88123227.77777778
2022-08,9,865787850,17315757,260340999,96198650.0
2022-09,9,1200675100,24013502,193386008,133408344.44444445
2022-10,8,981585950,19631719,406867997,122698243.75
2022-11,9,1133480200,22669604,564769338,125942244.44444445
2022-12,9,847802300,16956046,162318012,94200255.55555555
2023-01,17,3642809900,72856198,425715145,214282935.29411766
2023-02,12,1684410100,33688202,386840859,140367508.33333334
2023-03,9,977583450,19551669,430381043,108620383.33333333
2023-04,8,855870700,17117414,309151945,106983837.5
2023-05,9,1100285550,22005711,475178962,122253950.0
2023-06,9,1196352350,23927047,279581409,132928038.8888889
2023-07,8,888789250,17775785,291308484,111098656.25
2023-08,9,892333950,17846679,361900071,99148216.66666667
2023-09,9,1218456350,24369127,333285133,135384038.8888889
2023-10,9,1016025850,20320517,241773849,112891761.1111111
2023-11,8,1127424350,22548487,400292051,140928043.75
2023-12,9,1091007550,21820151,157123299,121223061.1111111
2024-01,9,914281150,18285623,150437239,101586794.44444445
2024-02,21,3929955750,78599115,471129718,187140750.0
2024-03,9,1037627200,20752544,355887325,115291911.1111111
2024-04,9,866389750,17327795,226819825,96265527.77777778
2024-05,9,1056100650,21122013,236082215,117344516.66666667
2024-06,8,989676400,19793528,150923162,123709550.0
2024-07,9,928754450,18575089,263236916,103194938.8888889
2024-08,9,853206100,17064122,210823098,94800677.77777778
2024-09,8,1262588650,25251773,379058668,157823581.25
2024-10,9,1116621300,22332426,447526549,124069033.33333333
2024-11,9,945632750,18912655,329430230,105070305.55555555
2024-12,9,907529100,18150582,218224364,100836566.66666667
2025-01,14,2843232000,56864640,537013182,203088000.0
2025-02,17,3131702550,62634051,554037983,184217797.05882353
2025-03,8,841125850,16822517,238406078,105140731.25
2025-04,9,857428500,17148570,193300544,95269833.33333333
2025-05,9,1013896450,20277929,240556043,112655161.1111111
2025-06,8,1037869450,20757389,283251721,129733681.25
2025-07,9,1612870350,32257407,674228587,179207816.66666666
2025-08,9,924335000,18486700,247213804,102703888.8888889
2025-09,9,1217699600,24353992,369073302,135299955.55555555
2025-10,9,1525384200,30507684,551306449,169487133.33333334
2025-11,8,1412283800,28245676,787034787,176535475.0
2025-12,9,996090400,19921808,261612249,110676711.1111111
